"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMService.cls","280","23","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"2","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","51","27","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"3","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","163","27","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"4","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","267","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"5","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","364","17","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"6","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","412","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"7","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","440","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"8","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","504","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"9","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","504","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"10","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","549","27","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"11","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisPDFController.cls","18","32","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"12","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisPDFController.cls","470","46","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"13","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisPDFController.cls","483","47","ApexXSSFromURLParam","Apex classes should escape/sanitize Strings obtained from URL parameters","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexxssfromurlparam","Security","pmd"
"14","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisQueueable.cls","96","27","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
