"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMService.cls","6","21","StdCyclomaticComplexity","The class 'ExternalLLMService' has a Standard Cyclomatic Complexity of 5 (Highest = 11).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"2","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMService.cls","6","21","CyclomaticComplexity","The class 'ExternalLLMService' has a total cyclomatic complexity of 55 (highest 19).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"3","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMService.cls","124","20","CyclomaticComplexity","The method 'callGoogleGemini(String, LLM_Configuration__mdt)' has a cyclomatic complexity of 10.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"4","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMService.cls","187","20","CyclomaticComplexity","The method 'callAnthropicClaude(String, LLM_Configuration__mdt)' has a cyclomatic complexity of 11.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"5","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMService.cls","258","20","StdCyclomaticComplexity","The method 'callHuggingFace' has a Standard Cyclomatic Complexity of 11.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"6","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMService.cls","258","20","NcssMethodCount","The method 'callHuggingFace()' has an NCSS line count of 67 (limit: 40)","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"7","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMService.cls","258","20","CyclomaticComplexity","The method 'callHuggingFace(String, LLM_Configuration__mdt)' has a cyclomatic complexity of 19.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"8","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMService.cls","280","23","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"9","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","15","16","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"10","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","21","16","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"11","1","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","31","12","MethodNamingConventions","The test method name 'testIsConfigured_NoActiveConfig' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"12","1","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","41","12","MethodNamingConventions","The test method name 'testGenerateCompletion_GoogleGemini_Success' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"13","5","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","50","20","UnusedLocalVariable","Variable 'result' defined but not used","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#unusedlocalvariable","Best Practices","pmd"
"14","1","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","62","12","MethodNamingConventions","The test method name 'testGenerateCompletion_AnthropicClaude_Success' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"15","5","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","69","20","UnusedLocalVariable","Variable 'result' defined but not used","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#unusedlocalvariable","Best Practices","pmd"
"16","1","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","80","12","MethodNamingConventions","The test method name 'testGenerateCompletion_APIError' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"17","5","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","87","20","UnusedLocalVariable","Variable 'result' defined but not used","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#unusedlocalvariable","Best Practices","pmd"
"18","1","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","98","12","MethodNamingConventions","The test method name 'testGenerateCompletion_UnsupportedProvider' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"19","5","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","103","20","UnusedLocalVariable","Variable 'result' defined but not used","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#unusedlocalvariable","Best Practices","pmd"
"20","1","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","114","12","MethodNamingConventions","The test method name 'testGenerateCompletion_EmptyResponse' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"21","5","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","121","20","UnusedLocalVariable","Variable 'result' defined but not used","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#unusedlocalvariable","Best Practices","pmd"
"22","1","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","132","12","MethodNamingConventions","The test method name 'testOpenAIProvider_NotImplemented' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"23","5","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/ExternalLLMServiceTest.cls","137","20","UnusedLocalVariable","Variable 'result' defined but not used","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#unusedlocalvariable","Best Practices","pmd"
"24","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","6","8","StdCyclomaticComplexity","The class 'FlowAnalysisBatch' has a Standard Cyclomatic Complexity of 4 (Highest = 10).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"25","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","20","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"26","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","27","12","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"27","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","27","12","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"28","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","51","27","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"29","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","67","25","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"30","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","75","11","EmptyCatchBlock","Avoid empty catch blocks","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_errorprone.html#emptycatchblock","Error Prone","pmd"
"31","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","84","12","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"32","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","84","12","StdCyclomaticComplexity","The method 'execute' has a Standard Cyclomatic Complexity of 10.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"33","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","84","12","CognitiveComplexity","The method 'execute(Database.BatchableContext, List<String>)' has a cognitive complexity of 21, current threshold is 15","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"34","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","84","12","CyclomaticComplexity","The method 'execute(Database.BatchableContext, List<String>)' has a cyclomatic complexity of 11.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"35","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","129","71","EmptyStatementBlock","Avoid empty block statements.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_errorprone.html#emptystatementblock","Error Prone","pmd"
"36","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","133","15","EmptyCatchBlock","Avoid empty catch blocks","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_errorprone.html#emptycatchblock","Error Prone","pmd"
"37","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","141","5","EmptyStatementBlock","Avoid empty block statements.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_errorprone.html#emptystatementblock","Error Prone","pmd"
"38","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","141","12","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"39","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","147","13","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"40","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","147","13","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"41","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","163","27","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"42","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","195","13","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"43","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","195","13","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"44","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","209","19","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"45","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatch.cls","209","19","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"46","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatchTest.cls","58","9","ApexAssertionsShouldIncludeMessage","'System.assertNotEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"47","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatchTest.cls","59","9","ApexAssertionsShouldIncludeMessage","'System.assertNotEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"48","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatchTest.cls","60","9","ApexAssertionsShouldIncludeMessage","'System.assertNotEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"49","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisBatchTest.cls","138","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"50","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","5","21","StdCyclomaticComplexity","The class 'FlowAnalysisDashboardController' has a Standard Cyclomatic Complexity of 6 (Highest = 16).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"51","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","5","21","CognitiveComplexity","The class 'FlowAnalysisDashboardController' has a total cognitive complexity of 92 (highest 22), current threshold is 50","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"52","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","5","21","CyclomaticComplexity","The class 'FlowAnalysisDashboardController' has a total cyclomatic complexity of 99 (highest 17).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"53","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","41","11","EmptyCatchBlock","Avoid empty catch blocks","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_errorprone.html#emptycatchblock","Error Prone","pmd"
"54","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","54","19","CyclomaticComplexity","The method 'getFlowAnalyses(String, String)' has a cyclomatic complexity of 10.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"55","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","216","19","CyclomaticComplexity","The method 'updateFlowMetadata(Id)' has a cyclomatic complexity of 13.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
